month_day,avg_uses,sort_date
01-01,162.54545454545453,2000-01-01
01-02,416.54545454545456,2000-01-02
01-03,460.8181818181818,2000-01-03
01-04,485.27272727272725,2000-01-04
01-05,452.90909090909093,2000-01-05
01-06,217.0,2000-01-06
01-07,582.4545454545455,2000-01-07
01-08,674.0,2000-01-08
01-09,748.1818181818181,2000-01-09
01-10,718.8181818181819,2000-01-10
01-11,675.6363636363636,2000-01-11
01-12,712.1818181818181,2000-01-12
01-13,718.4545454545455,2000-01-13
01-14,656.0909090909091,2000-01-14
01-15,635.5454545454545,2000-01-15
01-16,733.1818181818181,2000-01-16
01-17,688.0,2000-01-17
01-18,652.1818181818181,2000-01-18
01-19,559.9090909090909,2000-01-19
01-20,560.8181818181819,2000-01-20
01-21,578.7272727272727,2000-01-21
01-22,656.6363636363636,2000-01-22
01-23,715.7272727272727,2000-01-23
01-24,701.0909090909091,2000-01-24
01-25,701.8181818181819,2000-01-25
01-26,661.2727272727273,2000-01-26
01-27,695.7272727272727,2000-01-27
01-28,650.2727272727273,2000-01-28
01-29,707.0,2000-01-29
01-30,769.4545454545455,2000-01-30
01-31,709.7272727272727,2000-01-31
02-01,722.4545454545455,2000-02-01
02-02,652.6363636363636,2000-02-02
02-03,710.5454545454545,2000-02-03
02-04,688.8181818181819,2000-02-04
02-05,689.7272727272727,2000-02-05
02-06,742.7272727272727,2000-02-06
02-07,762.5454545454545,2000-02-07
02-08,754.0,2000-02-08
02-09,676.0,2000-02-09
02-10,728.6363636363636,2000-02-10
02-11,726.0,2000-02-11
02-12,725.6363636363636,2000-02-12
02-13,815.9090909090909,2000-02-13
02-14,772.2727272727273,2000-02-14
02-15,714.3636363636364,2000-02-15
02-16,725.9090909090909,2000-02-16
02-17,742.0909090909091,2000-02-17
02-18,725.5454545454545,2000-02-18
02-19,806.0,2000-02-19
02-20,847.3636363636364,2000-02-20
02-21,800.5454545454545,2000-02-21
02-22,801.3636363636364,2000-02-22
02-23,770.8181818181819,2000-02-23
02-24,779.9090909090909,2000-02-24
02-25,755.6363636363636,2000-02-25
02-26,818.0909090909091,2000-02-26
02-27,791.6363636363636,2000-02-27
02-28,797.8181818181819,2000-02-28
02-29,781.0,2000-02-29
03-01,757.9090909090909,2000-03-01
03-02,768.9090909090909,2000-03-02
03-03,775.5454545454545,2000-03-03
03-04,767.9090909090909,2000-03-04
03-05,715.0,2000-03-05
03-06,800.5454545454545,2000-03-06
03-07,806.3636363636364,2000-03-07
03-08,772.7272727272727,2000-03-08
03-09,825.7272727272727,2000-03-09
03-10,803.0,2000-03-10
03-11,804.3636363636364,2000-03-11
03-12,788.5454545454545,2000-03-12
03-13,729.2727272727273,2000-03-13
03-14,761.9090909090909,2000-03-14
03-15,760.7272727272727,2000-03-15
03-16,698.4545454545455,2000-03-16
03-17,596.7272727272727,2000-03-17
03-18,500.0,2000-03-18
03-19,264.6363636363636,2000-03-19
03-20,690.9090909090909,2000-03-20
03-21,707.5454545454545,2000-03-21
03-22,715.0909090909091,2000-03-22
03-23,652.2727272727273,2000-03-23
03-24,586.9090909090909,2000-03-24
03-25,585.0,2000-03-25
03-26,645.4545454545455,2000-03-26
03-27,738.1818181818181,2000-03-27
03-28,715.4545454545455,2000-03-28
03-29,682.1818181818181,2000-03-29
03-30,607.1818181818181,2000-03-30
03-31,633.4545454545455,2000-03-31
04-01,604.5454545454545,2000-04-01
04-02,510.3636363636364,2000-04-02
04-03,651.0,2000-04-03
04-04,679.4545454545455,2000-04-04
04-05,582.9090909090909,2000-04-05
04-06,573.9090909090909,2000-04-06
04-07,606.7272727272727,2000-04-07
04-08,628.1818181818181,2000-04-08
04-09,577.8181818181819,2000-04-09
04-10,663.0,2000-04-10
04-11,797.9090909090909,2000-04-11
04-12,658.5454545454545,2000-04-12
04-13,565.3636363636364,2000-04-13
04-14,572.1818181818181,2000-04-14
04-15,617.2727272727273,2000-04-15
04-16,680.1818181818181,2000-04-16
04-17,601.0909090909091,2000-04-17
04-18,655.0,2000-04-18
04-19,641.9090909090909,2000-04-19
04-20,635.8181818181819,2000-04-20
04-21,571.3636363636364,2000-04-21
04-22,550.7272727272727,2000-04-22
04-23,632.5454545454545,2000-04-23
04-24,622.0,2000-04-24
04-25,712.9090909090909,2000-04-25
04-26,730.6363636363636,2000-04-26
04-27,689.5454545454545,2000-04-27
04-28,551.1818181818181,2000-04-28
04-29,563.4545454545455,2000-04-29
04-30,646.6363636363636,2000-04-30
05-01,311.27272727272725,2000-05-01
05-02,842.5454545454545,2000-05-02
05-03,810.0,2000-05-03
05-04,746.6363636363636,2000-05-04
05-05,744.0,2000-05-05
05-06,765.6363636363636,2000-05-06
05-07,751.0,2000-05-07
05-08,795.4545454545455,2000-05-08
05-09,856.4545454545455,2000-05-09
05-10,810.1818181818181,2000-05-10
05-11,800.7272727272727,2000-05-11
05-12,760.6363636363636,2000-05-12
05-13,797.5454545454545,2000-05-13
05-14,722.8181818181819,2000-05-14
05-15,815.3636363636364,2000-05-15
05-16,893.8181818181819,2000-05-16
05-17,849.6363636363636,2000-05-17
05-18,798.6363636363636,2000-05-18
05-19,749.4545454545455,2000-05-19
05-20,756.7272727272727,2000-05-20
05-21,770.2727272727273,2000-05-21
05-22,797.0,2000-05-22
05-23,730.4545454545455,2000-05-23
05-24,765.5454545454545,2000-05-24
05-25,775.0909090909091,2000-05-25
05-26,786.4545454545455,2000-05-26
05-27,761.9090909090909,2000-05-27
05-28,731.6363636363636,2000-05-28
05-29,766.9090909090909,2000-05-29
05-30,804.4545454545455,2000-05-30
05-31,800.5454545454545,2000-05-31
06-01,790.6,2000-06-01
06-02,702.6,2000-06-02
06-03,704.5,2000-06-03
06-04,669.3,2000-06-04
06-05,720.7,2000-06-05
06-06,739.6,2000-06-06
06-07,762.6,2000-06-07
06-08,747.8,2000-06-08
06-09,684.9,2000-06-09
