estacion,station_name,month,month_name,avg_uses,pct
1,Estació d’Autobusos,1,January,1146.3,3.01
1,Estació d’Autobusos,2,February,1336.2,3.14
1,Estació d’Autobusos,3,March,1357.2,3.13
1,Estació d’Autobusos,4,April,1169.4,3.11
1,Estació d’Autobusos,5,May,1492.5,3.13
1,Estació d’Autobusos,6,June,1322.8,3.16
1,Estació d’Autobusos,7,July,1020.1,3.28
1,Estació d’Autobusos,8,August,769.3,3.33
1,Estació d’Autobusos,9,September,1374.0,3.14
1,Estació d’Autobusos,10,October,1746.9,3.2
1,Estació d’Autobusos,11,November,1593.5,3.09
1,Estació d’Autobusos,12,December,1168.2,2.99
2,Oficina de Turisme,1,January,1679.6,4.41
2,Oficina de Turisme,2,February,1832.8,4.31
2,Oficina de Turisme,3,March,1956.8,4.52
2,Oficina de Turisme,4,April,1704.5,4.54
2,Oficina de Turisme,5,May,2127.7,4.46
2,Oficina de Turisme,6,June,1822.8,4.35
2,Oficina de Turisme,7,July,1367.1,4.4
2,Oficina de Turisme,8,August,1098.5,4.76
2,Oficina de Turisme,9,September,1854.0,4.24
2,Oficina de Turisme,10,October,2267.8,4.16
2,Oficina de Turisme,11,November,2104.5,4.08
2,Oficina de Turisme,12,December,1686.6,4.32
3,Plaça de la Llotja,1,January,1970.6,5.17
3,Plaça de la Llotja,2,February,1976.8,4.65
3,Plaça de la Llotja,3,March,2008.9,4.64
3,Plaça de la Llotja,4,April,1809.2,4.82
3,Plaça de la Llotja,5,May,2303.3,4.82
3,Plaça de la Llotja,6,June,2093.4,4.99
3,Plaça de la Llotja,7,July,1549.9,4.99
3,Plaça de la Llotja,8,August,1165.8,5.05
3,Plaça de la Llotja,9,September,1933.2,4.42
3,Plaça de la Llotja,10,October,2350.7,4.31
3,Plaça de la Llotja,11,November,2239.2,4.34
3,Plaça de la Llotja,12,December,1729.2,4.43
4,Plaça del Raval,1,January,1138.7,2.99
4,Plaça del Raval,2,February,1235.8,2.91
4,Plaça del Raval,3,March,1286.4,2.97
4,Plaça del Raval,4,April,1093.9,2.91
4,Plaça del Raval,5,May,1450.7,3.04
4,Plaça del Raval,6,June,1268.0,3.02
4,Plaça del Raval,7,July,887.7,2.86
4,Plaça del Raval,8,August,668.8,2.9
4,Plaça del Raval,9,September,1277.5,2.92
4,Plaça del Raval,10,October,1578.7,2.89
4,Plaça del Raval,11,November,1425.0,2.76
4,Plaça del Raval,12,December,1085.8,2.78
5,Centre de Congressos,1,January,1373.3,3.6
5,Centre de Congressos,2,February,1531.5,3.6
5,Centre de Congressos,3,March,1531.9,3.54
5,Centre de Congressos,4,April,1329.1,3.54
5,Centre de Congressos,5,May,1687.5,3.54
5,Centre de Congressos,6,June,1502.9,3.59
5,Centre de Congressos,7,July,973.6,3.13
5,Centre de Congressos,8,August,706.8,3.06
5,Centre de Congressos,9,September,1465.6,3.35
5,Centre de Congressos,10,October,1824.5,3.34
5,Centre de Congressos,11,November,1770.1,3.43
5,Centre de Congressos,12,December,1341.7,3.43
6,Ajuntament,1,January,1771.9,4.65
6,Ajuntament,2,February,2092.0,4.92
