tmed_grado,dias,porcentaje
4,1,0.024888003982080638
6,7,0.17421602787456447
7,33,0.821304131408661
8,58,1.443504230960677
9,88,2.1901443504230964
10,152,3.782976605276257
11,183,4.554504728720757
12,270,6.719761075161772
13,228,5.674464907914385
14,294,7.317073170731707
15,172,4.28073668491787
16,218,5.425584868093579
17,192,4.778496764559483
18,209,5.201592832254853
19,146,3.6336485813837727
20,196,4.878048780487805
21,167,4.156296665007466
22,197,4.902936784469886
23,143,3.558984569437531
24,202,5.027376804380289
25,171,4.255848680935789
26,246,6.122448979591836
27,153,3.807864609258337
28,165,4.106520657043305
29,85,2.1154803384768543
30,28,0.6968641114982579
31,7,0.17421602787456447
32,4,0.09955201592832255
33,1,0.024888003982080638
34,2,0.049776007964161276
