tmed_grado,usos_promedio,dias
4,510.0,1
6,695.5714285714286,7
7,484.6363636363636,33
8,548.9310344827586,58
9,625.2045454545455,88
10,643.6381578947369,152
11,686.75956284153,183
12,679.5666666666667,270
13,712.8070175438596,228
14,693.1870748299319,294
15,746.5930232558139,172
16,757.105504587156,218
17,784.46875,192
18,787.4354066985646,209
19,806.8082191780821,146
20,793.4897959183673,196
21,799.2335329341317,167
22,774.1624365482234,197
23,711.3216783216783,143
24,652.2821782178218,202
25,556.9415204678363,171
26,536.7317073170732,246
27,511.0065359477124,153
28,445.3333333333333,165
29,464.3176470588235,85
30,443.0357142857143,28
31,353.14285714285717,7
32,341.5,4
33,283.0,1
34,419.0,2
